"id","canonicalName","aliases","category","relation","bookPortrayal","printedPages","chapterNumber","chapterTitle","evidenceLocation","sourceGroundedRole","bookPrintedUrl","projectId"
"UKC-04-053","Yahoo","","search and access platform","enabler","operating at book date","99","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Planned discovery and delivery layer for Open Content Alliance collections.","","PC-0342"
"UKC-04-054","Distributed Open Digital Library","DODL","collaborative digital-library initiative","direct","under development at book date","99","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Research-library collaboration for public-domain humanities and social-science collections.","","PC-0088"
"UKC-04-055","Common Information Environment Group","","public-sector information consortium","direct","forming at book date","99, 120","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","United Kingdom consortium intended to serve a broad learner audience.","","PC-0059"
"UKC-04-056","National Science Digital Library","NSDL","collaborative science digital library","direct","operating at book date","99, 120","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","NSF-supported national library of science learning content and services.","http://nsdl.org/about/index.php","PC-0207"
"UKC-04-057","National Science Foundation","NSF","science agency and digital-library sponsor","enabler","operating at book date","99","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Worked across sectors to develop the National Science Digital Library.","","PC-0208"
"UKC-04-058","Digital Promise Project","","digitization initiative","direct","proposed at book date","99","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Proposal to fund digitization of university, library, and museum content.","","PC-0085"
"UKC-04-059","Digital Opportunity Investment Trust","DO IT","public digital-content trust","direct","proposed at book date","99-100, 120","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Proposed spectrum-funded trust for public-private digitization partnerships.","","PC-0084"
"UKC-04-060","Portico","","third-party preservation archive","direct","operating at book date","100","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Trusted third party preserving publishers' electronic source files.","","PC-0251"
"UKC-04-061","LOCKSS","Lots Of Copies Keeps Stuff Safe","distributed preservation system","direct","operating at book date","100, 120","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Library-controlled distributed copying system for preserving journal and web content.","http://lockss.stanford.edu/","PC-0179"
"UKC-04-062","Stanford University","","university and preservation-system developer","enabler","operating at book date","100","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Developed the LOCKSS preservation system.","","PC-0301"
"UKC-04-063","University of Arizona information commons","","campus information commons","direct","operating at book date","101","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Shared library, teaching-center, and computing facility.","","PC-0317"
"UKC-04-064","Indiana University Information Commons","","campus information commons","direct","operating at book date","101","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Technology and information center combining workstations, consultation, resources, and multimedia production.","","PC-0145"
"UKC-04-065","IUPUI first-year learning commons","","campus learning commons","direct","operating at book date","101","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Collaborative learning commons supporting first-year seminars and critical thinking.","","PC-0158"
"UKC-04-066","American Library Association","ALA","library association","enabler","operating at book date","101-102, 114-115","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Collective policy, litigation, intellectual-freedom, and public-access advocate.","","PC-0009"
"UKC-04-067","Information Access Alliance","","library advocacy alliance","enabler","operating at book date","102, 113, 121","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Six-group alliance promoting antitrust scrutiny of scholarly and legal publishing mergers.","http://www.informationaccess.org/","PC-0147"
"UKC-04-068","Association of Research Libraries","ARL","research-library association","enabler","operating at book date","102, 113, 121","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Library association coordinating scholarly-communication reform.","","PC-0025"
"UKC-04-069","Association of College and Research Libraries","ACRL","academic-library association","enabler","operating at book date","102, 113, 121","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Academic-library association coordinating reform campaigns and toolkits.","","PC-0024"
"UKC-04-070","Create Change","","scholarly-communication campaign","enabler","operating at book date","102, 113, 121","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Public-relations campaign explaining the scholarly-communication crisis.","http://www.arl.org/create/resources/CreateChange2003.pdf","PC-0068"
"UKC-04-071","Scholarly Communication Toolkit","","advocacy toolkit","enabler","operating at book date","102, 121","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","ACRL toolkit supporting education and reform of scholarly communication.","http://www.ala.org/ala/acrl/acrlissues/scholarlycomm/scholarlycommunicationtoolkit/toolkit.htm","PC-0277"
"UKC-04-072","Creative Commons","","licensing commons","direct","operating at book date","102-103, 121","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Flexible rights licenses supporting public-domain dedication and public reuse.","http://creativecommons.org/","PC-0069"
"UKC-04-073","Center for the Public Domain","","foundation and public-domain center","enabler","operating at book date","103","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Provided support for Creative Commons.","","PC-0046"
"UKC-04-074","Committee on Institutional Cooperation","CIC","university consortium","enabler","operating at book date","108","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Recommended interinstitutional strategies for scholarly-communication reform.","","PC-0058"
"UKC-04-075","info-commons.org","","information-commons website","direct","operating at book date","112","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Website articulating balance between information commerce and public access.","http://info-commons.org","PC-0146"
"UKC-04-076","Directory of Open Access Journals","DOAJ","open-journal directory","direct","operating at book date","118","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Lund University Libraries directory of open-access journals.","http://www.doaj.org","PC-0087"
"UKC-04-077","Lund University Libraries","","research-library directory steward","enabler","operating at book date","118","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Creates and maintains the Directory of Open Access Journals.","","PC-0182"
"UKC-04-078","Free Online Scholarship Newsletter","","newsletter and advocacy resource","enabler","operating at book date","117","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Open scholarship newsletter linked as an OA information source.","http://www.earlham.edu/~peters/fos/","PC-0122"
"UKC-04-079","LibLicense Project","LibLicense | LibLicense-L","library-licensing information project","enabler","operating at book date","114","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Yale-hosted resources and discussion infrastructure for library licenses.","http://www.library.yale.edu/~llicense/index.shtml","PC-0169"
"UKC-04-080","AFFECT","","electronic-commerce coalition","enabler","operating at book date","114","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Coalition opposing restrictive electronic-commerce transaction rules.","http://www.affect.ucita.com/why.html","PC-0002"
"UKC-04-081","Public Knowledge","","public-interest organization","enabler","operating at book date","114, 117","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Public-interest advocate in broadcast-flag and information-commons policy.","http://www.publicknowledge.org/issues/current-issues/issue-broadcast-flag/","PC-0261"
"UKC-04-082","Center for Democracy and Technology","","public-interest organization","enabler","operating at book date","114","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Produced a public-interest primer on broadcast-flag enclosure.","http://www.cdt.org/copyright/031216broadcastflag.pdf","PC-0045"
"UKC-04-083","Free Expression Policy Project","","civil-liberties policy project","enabler","operating at book date","114-115","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Produced information-access and civil-liberties research and advocacy resources.","http://www.fepproject.org","PC-0121"
"UKC-04-084","Open Law Eldred v. Ashcroft website","","open legal archive","direct","operating at book date","114","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Harvard-hosted public archive of Eldred litigation materials.","http://cyber.law.harvard.edu/openlaw/eldredvashcroft/","PC-0233"
"UKC-04-085","American Library Association Eldred v. Ashcroft website","","legal-information website","direct","operating at book date","114","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","ALA public resource on the copyright-term case.","","PC-0011"
"UKC-04-086","American Library Association CIPA website","","legal-information website","direct","operating at book date","115","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","ALA public resource on the Children's Internet Protection Act.","http://www.ala.org/cipa","PC-0010"
"UKC-04-087","National Security Archive","","government-document archive","direct","operating at book date","115","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Public archive documenting changes in federal information-disclosure policy.","http://www.gwu.edu/%7Ensarchiv/NSAEBB/NSAEBB84/index.html","PC-0210"
"UKC-04-088","Information Security Oversight Office","","government information office","enabler","operating at book date","90-91, 115","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Tracks classification and declassification activity.","http://www.archives.gov/isoo/reports/2004-annual-report.html#10","PC-0148"
"UKC-04-089","MIT OpenCourseWare","","open educational resource initiative","direct","operating at book date","118","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","MIT open-course initiative paired with DSpace as an intellectual-commons example.","","PC-0192"
"UKC-04-090","Trusted Digital Repositories","","repository standards report and framework","enabler","operating at book date","118","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Research Libraries Group and OCLC framework for trusted repositories.","http://www.rlg.org/longterm/repositories.pdf","PC-0311"
"UKC-04-091","Research Libraries Group","RLG","research-library organization","enabler","operating at book date","118","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Co-produced the Trusted Digital Repositories framework.","","PC-0271"
"UKC-04-092","OCLC","","library cooperative and standards organization","enabler","operating at book date","118","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Co-produced the Trusted Digital Repositories framework.","","PC-0219"
"UKC-04-093","Digital Library Federation","","digital-library federation","enabler","operating at book date","119","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Federation documenting digital-library development and supporting preservation.","","PC-0081"
"UKC-05-001","Library of Congress","","national library","direct","operating at book date","124-126, 128, 139","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Central national-library case used to imagine open, decentralized access to cultural and scientific holdings.","","PC-0171"
"UKC-05-002","Library of Congress catalog","","national-library catalog","direct","operating at book date","124","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Searchable catalog used to imagine click-through access to digitized holdings.","","PC-0172"
"UKC-05-003","Library of Congress digital photograph collection","","digital collection","direct","operating at book date","125","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Digitized historical photographs with rights-based access restrictions.","","PC-0173"
"UKC-05-004","Library of Congress Edison film collection","","digital film collection","direct","operating at book date","125","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Digitized collection of early Edison films.","","PC-0175"
"UKC-05-005","Google","","search and digitization platform","analogy","operating at book date","124, 129-131","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Search engine illustrating decentralized fact discovery and web-scale filtering.","","PC-0130"
"UKC-05-006","Encyclopaedia Britannica","","reference work","analogy","operating at book date","129","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Proprietary reference model contrasted with web search and collaborative knowledge.","","PC-0106"
"UKC-05-007","ScratchDJ.com phonograph-history site","","independent knowledge website","example","operating at book date","129-130","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Lay-maintained factual history site used to illustrate frictionless fact sharing.","http://scratchdj.com","PC-0286"
"UKC-05-008","Samuel Berliner III's famous-Berliners site","","independent knowledge website","example","operating at book date","130","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Lay-maintained biographical site used to illustrate decentralized factual production.","","PC-0275"
"UKC-05-009","Tommy's History of Western Technology","","independent knowledge website","example","operating at book date","130","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Independent technical-history site used to illustrate reuse of uncopyrightable facts.","","PC-0310"
"UKC-05-010","National Inventors Hall of Fame","","biographical knowledge collection","example","operating at book date","130","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Online inventor profile source reused within decentralized factual production.","","PC-0205"
"UKC-05-011","Electronic Design","","technical periodical","example","operating at book date","130, 141","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","note","Technical-history source feeding independent web histories.","http://www.elecdesign.com/","PC-0104"
"UKC-05-012","Wikipedia","","collaborative encyclopedia","direct","operating at book date","131-132, 141","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Collectively created reference tool with open editing and lay peer review.","","PC-0334"
"UKC-05-013","Westlaw","","proprietary legal database","analogy","operating at book date","134","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Closed specialist database illustrating a successful proprietary information ecology.","","PC-0333"
"UKC-05-014","Lexis","","proprietary legal database","analogy","operating at book date","135","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Competing closed specialist legal information service.","","PC-0167"
"UKC-05-015","MEDLINE","","biomedical citation database","direct","operating at book date","136, 142","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Biomedical database redesigned for wider public usefulness.","","PC-0186"
"UKC-05-016","MedlinePlus","Medline Plus","public medical-information portal","direct","operating at book date","142","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","note","National Library of Medicine portal translating biomedical information for lay users.","http://www.nlm.nih.gov/medlineplus/","PC-0187"
"UKC-05-017","PubMed","","biomedical citation and linking service","direct","operating at book date","142","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","note","National Library of Medicine citation service linking biomedical literature and full text.","http://www.ncbi.nlm.nih.gov/PubMed/","PC-0266"
"UKC-05-018","Budapest Open Access Initiative","BOAI","open-access initiative","direct","operating at book date","136, 142","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Articulates worldwide free distribution of peer-reviewed research.","http://www.soros.org/openaccess/","PC-0039"
"UKC-05-019","Public Access to Science Act","PASA","public-access legislation","enabler","proposed legislation","136-137, 142","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Proposed federal requirement for free public access to taxpayer-funded science.","","PC-0259"
"UKC-05-020","Project Gutenberg","","public-domain digital library","direct","operating at book date","137","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","narrative","Leading lay-enabled project digitizing and distributing public-domain texts.","","PC-0257"
"UKC-05-021","James Boyle author website","","open self-publication website","example","operating at book date","140","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","note","Hosts the chapter under a Creative Commons license.","http://james-boyle.com","PC-0159"
"UKC-05-022","Creative Commons Attribution-NonCommercial-NoDerivs license","","open-content license","enabler","operating at book date","140","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","note","License used for open distribution of the chapter.","http://creativecommons.org/licenses/by-nc-nd/2.5/","PC-0071"
"UKC-05-023","In the Public Interest: Open Access and Public Policy","","open-access forum","enabler","completed forum","142","5","Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","note","ACRL/SPARC forum linking patient advocacy, public policy, and OA.","","PC-0144"
"UKC-06-001","Internet Archive","","web archive","direct","operating at book date","148, 151","6","Preserving the Knowledge Commons","narrative","Private nonprofit archive preserving portions of the web.","","PC-0154"
"UKC-06-002","Mellon e-journal preservation planning projects","","preservation program","direct","completed planning program","148-149, 156","6","Preserving the Knowledge Commons","narrative","Seven university-publisher planning projects that developed trusted e-journal archives.","","PC-0188"
"UKC-06-003","DSpace","","institutional repository software","direct","operating at book date","153","6","Preserving the Knowledge Commons","narrative","MIT platform for organizational and producer archives.","","PC-0090"
"UKC-06-004","Scholarly Publishing and Academic Resources Coalition","SPARC","scholarly-communication coalition","enabler","operating at book date","153","6","Preserving the Knowledge Commons","narrative","Advanced the producer-archive model for faculty publications.","","PC-0278"
"UKC-06-005","LibLicense-L","LibLicense","library-licensing discussion list","enabler","operating at book date","154-155, 165-166","6","Preserving the Knowledge Commons","narrative","Discussion infrastructure documenting publisher removal of digital articles.","http://www.library.yale.edu/~llicense/","PC-0170"
"UKC-06-006","Library of Congress distributed preservation network","","national preservation infrastructure","direct","developing model","156","6","Preserving the Knowledge Commons","narrative","Proposed distributed division of preservation labor across repositories and custodians.","","PC-0174"
"UKC-06-007","Portico","Portico electronic archiving service","third-party preservation archive","direct","operating at book date","156-159, 165","6","Preserving the Knowledge Commons","narrative","Ithaka/JSTOR-affiliated archive preserving publishers' electronic source files.","http://www.portico.org","PC-0251"
"UKC-06-008","Ithaka","","preservation organization","enabler","operating at book date","156","6","Preserving the Knowledge Commons","narrative","Institutional affiliate supporting Portico.","","PC-0157"
"UKC-06-009","JSTOR","","digital journal archive","direct","operating at book date","156, 161-162","6","Preserving the Knowledge Commons","narrative","Archival resource and moving-wall model for educational access.","","PC-0165"
"UKC-06-010","LOCKSS","Lots Of Copies Keeps Stuff Safe","distributed preservation system","direct","operating at book date","157-159, 166","6","Preserving the Knowledge Commons","narrative","Stanford library-controlled caching network for resilient journal preservation.","","PC-0179"
"UKC-06-011","ARTstor","","digital image archive","direct","operating at book date","161","6","Preserving the Knowledge Commons","narrative","Mellon-built archival resource licensing cultural images for education.","","PC-0021"
"UKC-06-012","Open Archives Initiative","OAI","repository interoperability initiative","analogy","operating at book date","160","6","Preserving the Knowledge Commons","narrative","Example of the broadened contemporary use of the word archive.","","PC-0227"
"UKC-06-013","JISC Digital Repositories Programme","","repository program","enabler","operating at book date","165","6","Preserving the Knowledge Commons","reference","United Kingdom program commissioning a digital-repositories review.","http://www.jisc.ac.uk/uploaded_documents/digital-repositories-review-2005.pdf","PC-0161"
"UKC-06-014","National Digital Information and Infrastructure Preservation Program","NDIIPP","national preservation program","direct","operating at book date","166","6","Preserving the Knowledge Commons","reference","Library of Congress national plan for distributed digital preservation.","http://www.digitalpreservation.gov/repor/ndiipp_plan.pdf","PC-0199"
"UKC-06-015","OCLC Research digital-preservation project","","preservation research project","enabler","operating at book date","165","6","Preserving the Knowledge Commons","reference","Produced economic analysis of incentives for preserving digital materials.","http://www.oclc.org/research/projects/digipres/incentives-dp.pdf","PC-0221"
"UKC-06-016","Task Force on Archiving of Digital Information","","preservation task force","enabler","operating at book date","167","6","Preserving the Knowledge Commons","reference","Produced a foundational report on preserving digital information.","http://www.rlg.org/ArchTF/","PC-0303"
"UKC-06-017","Commission on Preservation and Access","","preservation organization","enabler","operating at book date","167","6","Preserving the Knowledge Commons","reference","Co-sponsored the digital-archiving task force.","","PC-0057"
"UKC-06-018","Research Libraries Group","","research-library organization","enabler","operating at book date","167","6","Preserving the Knowledge Commons","reference","Co-sponsored the digital-archiving task force and preservation standards.","http://www.rlg.org/ArchTF/","PC-0271"
"UKC-07-001","Budapest Open Access Initiative","BOAI","open-access initiative","direct","operating at book date","171, 198","7","Creating an Intellectual Commons through Open Access","narrative","Defines OA and supplies a movement-wide statement of permitted uses.","http://www.soros.org/openaccess/read.shtml","PC-0039"
"UKC-07-002","Open Archives Initiative","OAI","interoperability initiative and protocol","enabler","operating at book date","173, 198","7","Creating an Intellectual Commons through Open Access","narrative","Metadata-harvesting protocol making distributed OA archives interoperable.","http://www.openarchives.org/","PC-0227"
"UKC-07-003","Philosophers' Imprint","","open-access journal","direct","operating at book date","174","7","Creating an Intellectual Commons through Open Access","narrative","University of Michigan peer-reviewed journal edited by philosophers and published by librarians.","","PC-0246"
"UKC-07-004","BioMed Central","BMC","open-access publisher and journal platform","direct","operating at book date","183, 198, 202-203","7","Creating an Intellectual Commons through Open Access","narrative","OA publisher using external archiving and Creative Commons licensing.","","PC-0033"
"UKC-07-005","Public Library of Science","PLoS","open-access publisher","direct","operating at book date","183, 198, 201, 203","7","Creating an Intellectual Commons through Open Access","narrative","Major OA publisher using external archives and Creative Commons licensing.","","PC-0263"
"UKC-07-006","Creative Commons Attribution license","","open-content license","enabler","operating at book date","198","7","Creating an Intellectual Commons through Open Access","note","License used by BMC, PLoS, and OA authors.","","PC-0070"
"UKC-07-007","SPARC Open Access Newsletter","","newsletter and advocacy resource","enabler","operating at book date","197-207","7","Creating an Intellectual Commons through Open Access","note","Open-access analysis, documentation, and movement current-awareness publication.","http://www.earlham.edu/~peters/fos/newsletter/archive.htm","PC-0299"
"UKC-07-008","Open Access Overview","","open-access reference guide","enabler","operating at book date","198","7","Creating an Intellectual Commons through Open Access","note","Introductory guide for readers new to open access.","http://www.earlham.edu/~peters/fos/overview.htm","PC-0225"
"UKC-07-009","Bethesda Statement on Open Access Publishing","","open-access declaration","enabler","declaration under implementation","198-199","7","Creating an Intellectual Commons through Open Access","note","Stakeholder statement defining OA publishing and calling for funder policies.","http://www.earlham.edu/~peters/fos/bethesda.htm","PC-0031"
"UKC-07-010","Howard Hughes Medical Institute open-access policy","","funder OA policy","enabler","policy in operation at book date","199","7","Creating an Intellectual Commons through Open Access","note","Medical research funder policy paying publication fees and supporting OA.","","PC-0141"
"UKC-07-011","Wellcome Trust open-access policy","","funder OA policy","enabler","policy in operation at book date","199","7","Creating an Intellectual Commons through Open Access","note","British medical research funder policy paying publication fees and supporting OA.","","PC-0332"
"UKC-07-012","Timeline of the Open Access Movement","","movement chronology","enabler","operating at book date","199, 206","7","Creating an Intellectual Commons through Open Access","note","Peter Suber's chronology of OA journals, policies, and declarations.","http://www.earlham.edu/~peters/fos/timeline.htm","PC-0308"
"UKC-07-013","Free Online Scholarship Newsletter","","newsletter and advocacy resource","enabler","operating at book date","200, 207","7","Creating an Intellectual Commons through Open Access","note","Predecessor/current-awareness publication documenting OA and public-domain issues.","","PC-0122"
"UKC-07-014","Project SHERPA","SHERPA/RoMEO","open-access policy project","enabler","operating at book date","200","7","Creating an Intellectual Commons through Open Access","note","Maintains the RoMEO database of publisher copyright and archiving policies.","http://www.sherpa.ac.uk/romeo.php","PC-0258"
"UKC-07-015","Public Access to Science Act","PASA","public-access legislation","enabler","proposed legislation","179-180, 200","7","Creating an Intellectual Commons through Open Access","narrative","Proposed OA mandate for government-funded research using public-domain status.","","PC-0259"
"UKC-07-016","PLoS Biology","","open-access journal","direct","operating at book date","192, 201","7","Creating an Intellectual Commons through Open Access","narrative","High-profile PLoS journal used to demonstrate OA visibility and prestige.","","PC-0249"
"UKC-07-017","BMC Journal of Biology","Journal of Biology","open-access journal","direct","operating at book date","192","7","Creating an Intellectual Commons through Open Access","narrative","BMC journal used to demonstrate prestige-building through eminent editorial boards.","","PC-0036"
"UKC-07-018","PubMed Central","","full-text biomedical archive","direct","operating at book date","205","7","Creating an Intellectual Commons through Open Access","note","OA archive receiving final manuscripts under NIH policy.","","PC-0267"
"UKC-07-019","Yahoo open-access indexing program","","search indexing initiative","enabler","announced program","184, 202","7","Creating an Intellectual Commons through Open Access","note","Program intended to index OA content in enhanced form.","","PC-0344"
"UKC-07-020","Google Print Library Project","","mass-digitization and discovery project","analogy","operating at book date","202","7","Creating an Intellectual Commons through Open Access","note","Search-company library digitization initiative cited in OA transition discussion.","http://www.google.com/press/pressrel/print_library.html","PC-0132"
"UKC-07-021","Nucleic Acids Research","NAR","open-access journal","direct","converted to OA at book date","203","7","Creating an Intellectual Commons through Open Access","narrative","Established Oxford University Press journal converted fully to OA.","","PC-0217"
"UKC-07-022","Bioline","","developing-world journal platform","direct","operating at book date","206","7","Creating an Intellectual Commons through Open Access","note","OA-oriented scientific publishing and distribution service for developing regions.","http://www.bioline.org.br/","PC-0032"
"UKC-07-023","Electronic Publishing Trust for Development","","publishing-support trust","enabler","operating at book date","206","7","Creating an Intellectual Commons through Open Access","note","Supports electronic scholarly publishing in developing regions.","http://www.epublishingtrust.org/","PC-0105"
"UKC-07-024","International Network for the Availability of Scientific Publications","INASP","publishing-access network","enabler","operating at book date","206","7","Creating an Intellectual Commons through Open Access","note","Network expanding access to and production of scientific publications.","http://www.inasp.info/","PC-0153"
"UKC-07-025","SciDev.Net","","science-development knowledge portal","direct","operating at book date","206","7","Creating an Intellectual Commons through Open Access","note","Scientific information portal serving development contexts.","http://www.scidev.net/","PC-0280"
"UKC-07-026","SciELO","","open-access journal platform and library","direct","operating at book date","206","7","Creating an Intellectual Commons through Open Access","note","Electronic scientific library and journal platform.","http://www.scielo.br/","PC-0281"
"UKC-07-027","Declaration of San José","","open-access declaration","enabler","completed declaration","206","7","Creating an Intellectual Commons through Open Access","note","Public statement supporting access to scientific information in developing countries.","","PC-0075"
"UKC-07-028","Declaration on Science and the Use of Scientific Knowledge","","science-access declaration","enabler","completed declaration","206","7","Creating an Intellectual Commons through Open Access","note","Public statement supporting scientific knowledge access.","","PC-0076"
"UKC-07-029","Declaration of Havana","","open-access declaration","enabler","completed declaration","206","7","Creating an Intellectual Commons through Open Access","note","Public statement supporting scientific information access.","","PC-0074"
"UKC-07-030","Beijing Declaration","","open-access declaration","enabler","completed declaration","206","7","Creating an Intellectual Commons through Open Access","note","Public statement supporting scientific information access.","","PC-0028"
"UKC-07-031","IAP Statement on Access to Scientific Information","","science-access statement","enabler","completed statement","206","7","Creating an Intellectual Commons through Open Access","note","Academies' statement supporting access to scientific information.","","PC-0142"
"UKC-07-032","Valparaiso Declaration","","open-access declaration","enabler","completed declaration","206","7","Creating an Intellectual Commons through Open Access","note","Public statement supporting scientific information access.","","PC-0330"
"UKC-07-033","Declaration from Buenos Aires","","open-access declaration","enabler","completed declaration","206","7","Creating an Intellectual Commons through Open Access","note","Public statement supporting scientific information access.","","PC-0073"
"UKC-07-034","Library-Related Principles for the International Development Agenda of WIPO","","library policy principles","enabler","completed principles","206","7","Creating an Intellectual Commons through Open Access","note","Library principles connecting access and WIPO's development agenda.","","PC-0176"
"UKC-07-035","Salvador Declaration","","open-access declaration","enabler","completed declaration","206","7","Creating an Intellectual Commons through Open Access","note","Public statement supporting scientific information access.","","PC-0274"
"UKC-07-036","University Actions against High Journal Prices","","advocacy catalog","enabler","operating at book date","202","7","Creating an Intellectual Commons through Open Access","note","Catalog of university cancellation and resistance actions.","http://www.earlham.edu/~peters/fos/lists.htm#actions","PC-0316"
"UKC-07-037","National Academies Press open-access book program","NAP","open-access publisher","direct","operating at book date","196, 207","7","Creating an Intellectual Commons through Open Access","narrative","Provides free online full text alongside print sales.","http://www.nap.edu/","PC-0197"
"UKC-07-038","Ludwig von Mises Institute open-access book program","Ludwig von Mises Institute","open-access publisher","direct","operating at book date","196, 207","7","Creating an Intellectual Commons through Open Access","narrative","Provides free online monographs alongside print sales.","http://www.mises.org/","PC-0181"
"UKC-07-039","Baen Free Library","","open-access digital book library","direct","operating at book date","196-197","7","Creating an Intellectual Commons through Open Access","narrative","Provides free online science-fiction novels to support discovery and print sales.","","PC-0027"
"UKC-07-040","Amazon Search Inside the Book","","commercial book-discovery service","analogy","operating at book date","196","7","Creating an Intellectual Commons through Open Access","narrative","Free full-text search and sampling service intended to increase print sales.","","PC-0005"
"UKC-07-041","BioMed Central Open Access Charter","","publisher policy charter","enabler","operating at book date","202","7","Creating an Intellectual Commons through Open Access","note","BMC statement of open-access commitments.","http://www.biomedcentral.com/info/about/charter","PC-0034"
"UKC-07-042","National Institutes of Health public-access policy","","public-access policy","enabler","policy in operation at book date","205","7","Creating an Intellectual Commons through Open Access","note","Requests NIH grantees to deposit accepted manuscripts in PubMed Central.","","PC-0204"
"UKC-07-043","World Summit on the Information Society OA advocacy","WSIS","international policy process","enabler","operating at book date","200","7","Creating an Intellectual Commons through Open Access","note","Venue for negotiations seeking a meaningful international OA endorsement.","","PC-0341"
"UKC-08-001","Copyright Clearance Center","","rights-clearance infrastructure","enabler","operating at book date","222","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Collective licensing organization reducing transaction costs for copyright permissions.","","PC-0065"
"UKC-08-002","U.S. Patent and Trademark Office","","public rights registry","enabler","operating at book date","222","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Government administrative infrastructure for patent rights.","","PC-0312"
