"id","canonicalName","aliases","candidateTier","scope","bookRelations","bookCategories","bookPortrayal","mentionCount","chapters","printedPageReferences","bookPrintedUrls","sourceGroundedRoles","currentStatusGroup","detailedStatus","currentCanonicalUrl","currentOperator","currentStatusEvidence","verified","confidence","verificationSourceUrls","discoveryGeneration","directoryDecision","editorialNotes","mentionIds"
"PC-0086","Directors Guild of America","","Support node","Supporting Ecosystem","enabler","professional association","operating at book date","1","8","Ch. 8, pp. 221","","Professional rules help resolve attribution and ownership.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-08-004"
"PC-0087","Directory of Open Access Journals","DOAJ","Core candidate","Commons Projects","direct","open-journal directory","operating at book date","1","4","Ch. 4, pp. 118","http://www.doaj.org","Lund University Libraries directory of open-access journals.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-076"
"PC-0088","Distributed Open Digital Library","DODL","Core candidate","Commons Projects","direct","collaborative digital-library initiative","under development at book date","1","4","Ch. 4, pp. 99","","Research-library collaboration for public-domain humanities and social-science collections.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-054"
"PC-0089","Drupal","","Support node","Supporting Ecosystem","enabler","open-source content-management system","operating at book date","1","10","Ch. 10, pp. 301","","FOSS content-management scaffolding for open-content collaboration.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-023"
"PC-0090","DSpace","","Core candidate","Commons Projects","direct | enabler","repository software and institutional repository | institutional repository software | open-source repository software","operating at book date","5","3, 4, 6, 10, 11","Ch. 3, pp. 56, 64, 70 | Ch. 4, pp. 97, 119 | Ch. 6, pp. 153 | Ch. 10, pp. 301 | Ch. 11, pp. 322","http://dspace.org/index.html | http://www.dspace.org/","MIT repository platform developed through library and faculty leadership. | MIT open-source platform for capture, discovery, distribution, and preservation. | MIT platform for organizational and producer archives. | FOSS repository scaffolding for open-content collaboration. | Library repository service extending stewardship earlier in scholarly communication.","ACTIVE","ACTIVE","https://dspace.org/","DSpace community; organizational support and services provided by LYRASIS","The open-source repository platform and community remain active.","2026-07-28","HIGH","https://dspace.org/ | https://lyrasis.org/dspace-direct/","0","","","UKC-03-005 | UKC-04-029 | UKC-06-003 | UKC-10-024 | UKC-11-015"
"PC-0091","Dutch universities open-access requirements","","Example candidate","Commons Projects","example","institutional OA policies","policies in operation at book date","1","3","Ch. 3, pp. 57","","Twelve universities with OA requirement policies.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-03-019"
"PC-0092","Earth Force","","Core candidate","Commons Projects","direct","youth environmental research program","operating at book date","1","9","Ch. 9, pp. 269","http://www.earthforce.org/resources.cfm","Program involving students in environmental research and political action.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-014"
"PC-0093","Economic Science Laboratory","ESL","Support node","Supporting Ecosystem","enabler","experimental economics laboratory","operating at book date","1","12","Ch. 12, pp. 333, 335, 337, 341-346","http://www.econlab.arizona.edu","Created EconPort's economics content and software and supplied its sustainability base.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-002"
"PC-0094","EconPort","","Core candidate","Commons Projects","direct","open-access digital library | open-access digital library and virtual laboratory","operating at book date","3","1, 2, 12","Ch. 1, pp. 20 | Ch. 2, pp. 27 | Ch. 12, pp. 333-347","http://www.econport.org","Open-access, open-source microeconomics library and experimental laboratory. | Economics literature commons serving a user community. | Microeconomics portal, archive, repository, handbook, glossary, and online experiment laboratory.","ACTIVE","ACTIVE","https://econport.org/","Experimental Economics Center, Andrew Young School of Policy Studies, Georgia State University","The economics digital library, teaching materials, and experiment services remain online.","2026-07-28","HIGH","https://econport.org/ | https://www.econport.org/econport/request?page=web_about | https://excen.gsu.edu/people.html","0","","","UKC-01-005 | UKC-02-001 | UKC-12-001"
"PC-0095","EconPort Applications Program Interface","EconPort API","Support node","Supporting Ecosystem","enabler","software integration infrastructure","operating at book date","1","12","Ch. 12, pp. 338, 344","","Allows external experiment software to connect regardless of programming language.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-008"
"PC-0096","EconPort experiment-data archive","","Core candidate","Commons Projects","direct","research and teaching data archive","operating at book date","1","12","Ch. 12, pp. 339","","Archives teaching and research experiment data for registered users.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-016"
"PC-0097","EconPort Handbook","","Core candidate","Commons Projects","direct","open educational handbook","operating at book date","1","12","Ch. 12, pp. 340","","Organizes concepts, research, readings, experiments, and related online resources.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-013"
"PC-0098","EconPort national dissemination workshops","","Core candidate","Commons Projects","direct","teaching dissemination program","planned and funded at book date","1","12","Ch. 12, pp. 345","","NSF-funded faculty workshops teaching use of EconPort educational resources.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-018"
"PC-0099","EconPort online experimental economics laboratory","","Core candidate","Commons Projects","direct","virtual laboratory","operating at book date","1","12","Ch. 12, pp. 336, 338-339","","Runs multiuser market and game experiments over the Internet.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-014"
"PC-0100","EconPort searchable portal","","Core candidate","Commons Projects","direct","discovery portal","operating at book date","1","12","Ch. 12, pp. 340, 345","","Searches and classifies internal and external economics resources.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-012"
"PC-0101","Econterms","","Core candidate","Commons Projects","direct","economics glossary","operating at book date","1","12","Ch. 12, pp. 340, 344","","Externally created glossary of more than 1,300 economics terms integrated into EconPort.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-009"
"PC-0102","EconWPA","","Core candidate","Commons Projects","direct","disciplinary repository","operating at book date","1","4","Ch. 4, pp. 98, 119","http://econwpa.wustl.edu/","Economics working-paper archive.","ARCHIVED_READ_ONLY","ARCHIVED_READ_ONLY_WITH_SUBMISSION_SUCCESSOR","https://econwpa.ub.uni-muenchen.de/","University Library, Ludwig Maximilian University of Munich; original project at Washington University in St. Louis","EconWPA stopped accepting new work in 2005; its corpus is permanently hosted as a read-only archive by LMU Munich's University Library. MPRA is the named route for new submissions.","2026-07-28","HIGH","https://econwpa.ub.uni-muenchen.de/ | https://mpra.ub.uni-muenchen.de/ | https://blog.repec.org/2009/08/ | https://blog.repec.org/2025/02/","0","","","UKC-04-038"
"PC-0103","efirst XML","","Support node","Supporting Ecosystem","enabler","open-source journal-management software","operating at book date","1","10","Ch. 10, pp. 303","http://www.openly.com/efirst/","XML-based open-source e-journal infrastructure.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-028"
"PC-0104","Electronic Design","","Example candidate","Commons Projects","example","technical periodical","operating at book date","1","5","Ch. 5, pp. 130, 141","http://www.elecdesign.com/","Technical-history source feeding independent web histories.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-011"
"PC-0105","Electronic Publishing Trust for Development","","Support node","Supporting Ecosystem","enabler","publishing-support trust","operating at book date","1","7","Ch. 7, pp. 206","http://www.epublishingtrust.org/","Supports electronic scholarly publishing in developing regions.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-023"
"PC-0106","Encyclopaedia Britannica","","Context / analogy","Concepts and Comparisons","analogy","reference work","operating at book date","1","5","Ch. 5, pp. 129","","Proprietary reference model contrasted with web search and collaborative knowledge.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-006"
"PC-0107","Engaged University Initiative","","Core candidate","Commons Projects","direct","university civic-engagement initiative","operating at book date","1","9","Ch. 9, pp. 268","","Democracy Collaborative initiative under which Prince George's projects operated.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-010"
"PC-0108","Environmental Defense Fund","","Context / analogy","Concepts and Comparisons","analogy","environmental organization","operating at book date","1","2","Ch. 2, pp. 30","","Illustrates market-oriented environmental advocacy in the movement analogy.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-004"
"PC-0109","Eprints Open Source Software","","Support node","Supporting Ecosystem","enabler","repository software","operating at book date","1","3","Ch. 3, pp. 57","","Southampton-created open-source repository platform.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-03-010"
"PC-0110","EPrints.org","","Support node","Supporting Ecosystem","enabler","repository software and self-archiving resource","operating at book date","1","4","Ch. 4, pp. 119","http://www.eprints.org/","Self-archiving and open-archives software resource.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-046"
"PC-0111","Érudit","","Core candidate","Commons Projects","direct","institutional digital repository","operating at book date","1","4","Ch. 4, pp. 97, 118","http://www.erudit.org","University of Montreal digital repository.","ACTIVE","ACTIVE","https://www.erudit.org/en/","Consortium Érudit: Université de Montréal, Université Laval, and Université du Québec à Montréal","The scholarly publishing and dissemination platform remains active.","2026-07-28","HIGH","https://www.erudit.org/en/ | https://recherche.umontreal.ca/english/strategic-initiatives/erudit/ | https://www.erudit.org/public/documents/AnnualReport_22-23.pdf","0","","","UKC-04-031"
"PC-0112","eScholarship","","Core candidate","Commons Projects","direct","institutional repository and publishing platform","operating at book date","1","4","Ch. 4, pp. 97, 118","http://repositories.cdlib.org/escholarship/","University of California Digital Library repository.","ACTIVE_AT_NEW_URL","ACTIVE_AT_NEW_URL","https://escholarship.org/","California Digital Library, University of California","The University of California's open-access repository and publishing platform remains active.","2026-07-28","HIGH","https://escholarship.org/ | https://cdlib.org/services/pad/escholarship/ | https://osc.universityofcalifornia.edu/2022/04/escholarship-celebrates-its-20-year-anniversary/","0","","","UKC-04-032"
"PC-0113","ESRI Virtual Campus","","Context / analogy","Concepts and Comparisons","analogy","online learning platform","operating at book date","1","10","Ch. 10, pp. 301","http://campus.esri.com","Proprietary distance-learning service used as a revenue-model example.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-022"
"PC-0114","Experimental Economics Center","","Support node","Supporting Ecosystem","enabler","research laboratory","operating at book date","1","0","Ch. 0, pp. xi","","Experimental-economics center directed by James Cox and connected to EconPort.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-018"
"PC-0115","Experimental Economics Center at AYSPS","ExCEN","Support node","Supporting Ecosystem","enabler","research center","operating at book date","1","12","Ch. 12, pp. 346-347","http://excen.gsu.edu","New institutional home intended to sustain EconPort.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-019"
"PC-0116","Experimental Economics Glossary","","Core candidate","Commons Projects","direct","economics glossary","operating at book date","1","12","Ch. 12, pp. 340, 344","","University of Mannheim glossary integrated into EconPort.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-010"
"PC-0117","Federal Depository Library Program","","Core candidate","Commons Projects","direct","government-information distribution network","operating at book date","1","4","Ch. 4, pp. 87","","Public distribution and preservation channel for government publications.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-002"
"PC-0118","Firefox","","Core candidate","Commons Projects","direct","open-source web browser","operating at book date","1","10","Ch. 10, pp. 278-279","","Successful FOSS browser project.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-006"
"PC-0119","Flickr","","Example candidate","Commons Projects","example","participatory media platform","operating at book date","1","2","Ch. 2, pp. 36","","Photo-sharing platform cited as participatory media.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-021"
"PC-0120","Food and Drug Administration approval system","FDA","Support node","Supporting Ecosystem","enabler","regulatory infrastructure","operating at book date","1","8","Ch. 8, pp. 214, 239-242","","Drug-approval system interacting with patents and experimental-use rules.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-08-012"
"PC-0121","Free Expression Policy Project","","Support node","Supporting Ecosystem","enabler","civil-liberties policy project","operating at book date","1","4","Ch. 4, pp. 114-115","http://www.fepproject.org","Produced information-access and civil-liberties research and advocacy resources.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-083"
"PC-0122","Free Online Scholarship Newsletter","","Support node","Supporting Ecosystem","enabler","newsletter and advocacy resource","operating at book date","2","4, 7","Ch. 4, pp. 117 | Ch. 7, pp. 200, 207","http://www.earlham.edu/~peters/fos/","Open scholarship newsletter linked as an OA information source. | Predecessor/current-awareness publication documenting OA and public-domain issues.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-078 | UKC-07-013"
"PC-0123","Free Software Foundation","FSF","Support node","Supporting Ecosystem","enabler","free-software organization","operating at book date","1","10","Ch. 10, pp. 282-285, 305","http://www.gnu.org/","Institutional advocate and steward for GNU and software freedom.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-010"
"PC-0124","FreeBSD","","Core candidate","Commons Projects","direct","open-source operating system","operating at book date","1","10","Ch. 10, pp. 298","","FOSS project governed by an elected nine-member developer team.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-020"
"PC-0125","Georgetown Environmental Law and Policy Institute","","Support node","Supporting Ecosystem","enabler","research institute","operating at book date","1","2","Ch. 2, pp. 39","","Named organization working through public-trust approaches to environmental commons.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-011"
"PC-0126","GNU Free Documentation License","GFDL","Support node","Supporting Ecosystem","enabler","open-content license","operating at book date","1","10","Ch. 10, pp. 291-293","http://www.fsf.org/copyleft/fdl.html","Copyleft license extending software freedoms to documentation and other text.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-017"
"PC-0127","GNU General Public License","GPL","Support node","Supporting Ecosystem","enabler","open-source software license","operating at book date","1","10","Ch. 10, pp. 282-283, 295, 305","http://www.fsf.org/copyleft/gpl.html","Copyleft license preserving use, modification, distribution, and derivative-work freedoms.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-009"
"PC-0128","GNU Project","","Core candidate","Commons Projects","direct","free-software operating-system project","operating at book date","1","10","Ch. 10, pp. 281-282","","Stallman's operating-system project that initiated the Free/Libre software movement.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-008"
"PC-0129","GNU/Linux","GNU Linux","Core candidate","Commons Projects","direct","open-source operating system","operating at book date","1","2","Ch. 2, pp. 35","","Famous open-source software commons and rival to proprietary operating systems.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-017"
"PC-0130","Google","","Context / analogy","Concepts and Comparisons","analogy","search and digitization platform","operating at book date","1","5","Ch. 5, pp. 124, 129-131","","Search engine illustrating decentralized fact discovery and web-scale filtering.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-005"
"PC-0131","Google Print","","Context / analogy","Concepts and Comparisons","analogy","mass-digitization and discovery project","operating at book date","1","4","Ch. 4, pp. 99","","Library digitization partnership challenged on copyright grounds.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-047"
"PC-0132","Google Print Library Project","","Context / analogy","Concepts and Comparisons","analogy","mass-digitization and discovery project","operating at book date","1","7","Ch. 7, pp. 202","http://www.google.com/press/pressrel/print_library.html","Search-company library digitization initiative cited in OA transition discussion.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-020"
"PC-0133","Google search engine","","Example candidate","Commons Projects","example","search commons","operating at book date","1","9","Ch. 9, pp. 252-253","","Corporate search service treated as a commons while access remained unpriced.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-006"
"PC-0134","Gordon and Betty Moore Foundation","","Support node","Supporting Ecosystem","enabler","foundation and funder","operating at book date","1","4","Ch. 4, pp. 96","","Supplied the founding grant for the Public Library of Science.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-022"
"PC-0135","Greenpeace","","Context / analogy","Concepts and Comparisons","analogy","environmental organization","operating at book date","1","2","Ch. 2, pp. 30","","Illustrates one branch of the diversified environmental movement used as a commons analogy.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-003"
"PC-0136","Grokster","","Context / analogy","Concepts and Comparisons","analogy","peer-to-peer file-sharing service","historical service","1","8","Ch. 8, pp. 235-238, 243","","File-sharing service and litigation used to analyze copying-technology governance.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-08-010"
"PC-0137","H-Net","","Core candidate","Commons Projects","direct","scholarly discussion network","operating at book date","1","11","Ch. 11, pp. 320","","History network offering dialogue and disciplinary community recognition.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-11-013"
"PC-0138","Hewlett-Packard","Hewlett-Packard Labs","Support node","Supporting Ecosystem","enabler","technology company and project funder","operating at book date","1","4","Ch. 4, pp. 97","","Funded the launch of DSpace as an open-source repository platform.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-030"
"PC-0139","Higher Education: Civic Mission and Civic Effects","","Support node","Supporting Ecosystem","enabler","civic higher-education project","operating at book date","1","9","Ch. 9, pp. 272","http://www.civicyouth.org/research/areas/higher_ed.htm","Carnegie Foundation and CIRCLE initiative on higher education's civic role.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-023"
"PC-0140","HighWire Press","","Core candidate","Commons Projects","direct","library-based scholarly publishing service","operating at book date","1","11","Ch. 11, pp. 322","","Stanford service distributing society publications.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-11-017"
"PC-0141","Howard Hughes Medical Institute open-access policy","","Support node","Supporting Ecosystem","enabler","funder OA policy","policy in operation at book date","1","7","Ch. 7, pp. 199","","Medical research funder policy paying publication fees and supporting OA.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-010"
"PC-0142","IAP Statement on Access to Scientific Information","","Support node","Supporting Ecosystem","enabler","science-access statement","completed statement","1","7","Ch. 7, pp. 206","","Academies' statement supporting access to scientific information.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-031"
"PC-0143","IBM open-source patent releases","","Example candidate","Commons Projects","example","open patent initiative","operating at book date","1","2","Ch. 2, pp. 35","","Made software patents available on an open-source basis to spur innovation.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-018"
"PC-0144","In the Public Interest: Open Access and Public Policy","","Support node","Supporting Ecosystem","enabler","open-access forum","completed forum","1","5","Ch. 5, pp. 142","","ACRL/SPARC forum linking patient advocacy, public policy, and OA.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-023"
"PC-0145","Indiana University Information Commons","","Core candidate","Commons Projects","direct","campus information commons","operating at book date","1","4","Ch. 4, pp. 101","","Technology and information center combining workstations, consultation, resources, and multimedia production.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-064"
"PC-0146","info-commons.org","","Core candidate","Commons Projects","direct","information-commons website","operating at book date","1","4","Ch. 4, pp. 112","http://info-commons.org","Website articulating balance between information commerce and public access.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-075"
"PC-0147","Information Access Alliance","","Support node","Supporting Ecosystem","enabler","library advocacy alliance","operating at book date","1","4","Ch. 4, pp. 102, 113, 121","http://www.informationaccess.org/","Six-group alliance promoting antitrust scrutiny of scholarly and legal publishing mergers.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-067"
"PC-0148","Information Security Oversight Office","","Support node","Supporting Ecosystem","enabler","government information office","operating at book date","1","4","Ch. 4, pp. 90-91, 115","http://www.archives.gov/isoo/reports/2004-annual-report.html#10","Tracks classification and declassification activity.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-088"
"PC-0149","Institute for Philosophy & Public Policy","","Support node","Supporting Ecosystem","enabler","research institute","operating at book date","1","0","Ch. 0, pp. xi","","University of Maryland institute supporting Peter Levine's civic-commons work.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-009"
"PC-0150","Institutional Repository of Utrecht University","DISPUTE","Core candidate","Commons Projects","direct","institutional repository","operating at book date","1","4","Ch. 4, pp. 97, 118","http://dispute.library.uu.nl/","Utrecht University repository cited as a federated DSpace-like system.","ABSORBED","ABSORBED_INTO_ACTIVE_SUCCESSOR","https://dspace.library.uu.nl/","Utrecht University Library","The DISPUTE demonstration site evolved into the Igitur Archive and Utrecht University Repository, which is active at Utrecht's DSpace domain.","2026-07-28","HIGH","https://dspace.library.uu.nl/ | https://dspace.library.uu.nl/bitstream/handle/1874/22993/evolution-igitur-archive-2007.pdf | https://explore.openaire.eu/search/dataprovider?datasourceId=opendoar____%3A%3A38b3eff8baf56627478ec76a704e9b52 | https://opendoar.ac.uk/repository/101","0","","","UKC-04-034"
"PC-0151","International Association for the Study of Common Property","International Association for the Study of the Commons | IASCP | IASC","Support node","Supporting Ecosystem","enabler","scholarly association","operating at book date","1","1","Ch. 1, pp. 6, 21","http://www.iascp.org","International interdisciplinary association that organized modern commons research.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-01-001"
"PC-0152","International Association for the Study of Common Property archives","IASCP archives","Core candidate","Commons Projects","direct","association archive","operating at book date","1","2","Ch. 2, pp. 31","","Archived record of the international commons-research association.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-008"
"PC-0153","International Network for the Availability of Scientific Publications","INASP","Support node","Supporting Ecosystem","enabler","publishing-access network","operating at book date","1","7","Ch. 7, pp. 206","http://www.inasp.info/","Network expanding access to and production of scientific publications.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-024"
"PC-0154","Internet Archive","","Core candidate","Commons Projects","direct | enabler","web archive and project founder | web archive","operating at book date","2","4, 6","Ch. 4, pp. 99 | Ch. 6, pp. 148, 151","","Established the Open Content Alliance and convened its multi-sector partners. | Private nonprofit archive preserving portions of the web.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-052 | UKC-06-001"
"PC-0155","Internet2","","Support node","Supporting Ecosystem","enabler","research-network infrastructure","operating at book date","1","0","Ch. 0, pp. xii","","Advanced network infrastructure represented by Douglas Van Houweling.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-016"
"PC-0156","Into the Blogosphere","","Core candidate","Commons Projects","direct","scholarly blog collection","operating at book date","1","11","Ch. 11, pp. 316, 330","http://blog.lib.umn.edu/blogosphere/","Example of cumulating scholarly commentary in blog form.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-11-007"
"PC-0157","Ithaka","","Support node","Supporting Ecosystem","enabler","preservation organization","operating at book date","1","6","Ch. 6, pp. 156","","Institutional affiliate supporting Portico.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-06-008"
"PC-0158","IUPUI first-year learning commons","","Core candidate","Commons Projects","direct","campus learning commons","operating at book date","1","4","Ch. 4, pp. 101","","Collaborative learning commons supporting first-year seminars and critical thinking.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-065"
"PC-0159","James Boyle author website","","Example candidate","Commons Projects","example","open self-publication website","operating at book date","1","5","Ch. 5, pp. 140","http://james-boyle.com","Hosts the chapter under a Creative Commons license.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-021"
"PC-0160","Java","","Support node","Supporting Ecosystem","enabler","open software runtime and programming language","operating at book date","1","12","Ch. 12, pp. 339","","Provides cross-platform support for EconPort experiments without custom client or server installation.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-015"
"PC-0161","JISC Digital Repositories Programme","","Support node","Supporting Ecosystem","enabler","repository program","operating at book date","1","6","Ch. 6, pp. 165","http://www.jisc.ac.uk/uploaded_documents/digital-repositories-review-2005.pdf","United Kingdom program commissioning a digital-repositories review.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-06-013"
"PC-0162","Johnson Foundation","","Support node","Supporting Ecosystem","enabler","foundation and funder","operating at book date","1","2","Ch. 2, pp. 39","","Co-organized a conference linking commons, public trust, and precaution.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-016"
"PC-0163","Journal of Arabic and Islamic Studies","","Example candidate","Commons Projects","example","open-access journal","operating at book date","1","4","Ch. 4, pp. 96","","Named example among operating open-access journals.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-018"
"PC-0164","Journal Policy Directory","","Support node","Supporting Ecosystem","enabler","journal-policy directory","operating at book date","1","3","Ch. 3, pp. 57","","Southampton-created directory of journal self-archiving policies.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-03-014"
"PC-0165","JSTOR","","Core candidate","Commons Projects","direct","digital journal archive","operating at book date","1","6","Ch. 6, pp. 156, 161-162","","Archival resource and moving-wall model for educational access.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-06-009"
"PC-0166","KU ScholarWorks","","Core candidate","Commons Projects","direct","institutional repository","operating at book date","1","3","Ch. 3, pp. 57, 70","https://kuscholarworks.ku.edu/dspace/","University of Kansas repository populated under an institutional OA endorsement.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-03-017"
"PC-0167","Lexis","","Context / analogy","Concepts and Comparisons","analogy","proprietary legal database","operating at book date","1","5","Ch. 5, pp. 135","","Competing closed specialist legal information service.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-014"
"PC-0168","Lexis/Nexis","","Context / analogy","Concepts and Comparisons","analogy","commercial information database","operating at book date","1","4","Ch. 4, pp. 88","","Licensed database illustrating restrictions on use, lending, and preservation.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-003"
"PC-0169","LibLicense Project","LibLicense | LibLicense-L","Support node","Supporting Ecosystem","enabler","library-licensing information project","operating at book date","1","4","Ch. 4, pp. 114","http://www.library.yale.edu/~llicense/index.shtml","Yale-hosted resources and discussion infrastructure for library licenses.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-079"
"PC-0170","LibLicense-L","LibLicense","Support node","Supporting Ecosystem","enabler","library-licensing discussion list","operating at book date","1","6","Ch. 6, pp. 154-155, 165-166","http://www.library.yale.edu/~llicense/","Discussion infrastructure documenting publisher removal of digital articles.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-06-005"
"PC-0171","Library of Congress","","Core candidate","Commons Projects","direct","national library","operating at book date","1","5","Ch. 5, pp. 124-126, 128, 139","","Central national-library case used to imagine open, decentralized access to cultural and scientific holdings.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-001"
"PC-0172","Library of Congress catalog","","Core candidate","Commons Projects","direct","national-library catalog","operating at book date","1","5","Ch. 5, pp. 124","","Searchable catalog used to imagine click-through access to digitized holdings.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-002"
"PC-0173","Library of Congress digital photograph collection","","Core candidate","Commons Projects","direct","digital collection","operating at book date","1","5","Ch. 5, pp. 125","","Digitized historical photographs with rights-based access restrictions.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-003"
"PC-0174","Library of Congress distributed preservation network","","Core candidate","Commons Projects","direct","national preservation infrastructure","developing model","1","6","Ch. 6, pp. 156","","Proposed distributed division of preservation labor across repositories and custodians.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-06-006"
"PC-0175","Library of Congress Edison film collection","","Core candidate","Commons Projects","direct","digital film collection","operating at book date","1","5","Ch. 5, pp. 125","","Digitized collection of early Edison films.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-004"
"PC-0176","Library-Related Principles for the International Development Agenda of WIPO","","Support node","Supporting Ecosystem","enabler","library policy principles","completed principles","1","7","Ch. 7, pp. 206","","Library principles connecting access and WIPO's development agenda.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-034"
"PC-0177","Linux","","Core candidate","Commons Projects","direct","open-source operating system","operating at book date","1","10","Ch. 10, pp. 278, 284-287, 298","","Major FOSS commons and example of modular, governed collaborative production.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-002"
"PC-0178","Living Reviews","","Core candidate","Commons Projects","direct","dynamic peer-reviewed journal model","operating at book date","1","11","Ch. 11, pp. 316","","Max Planck online-only publication supporting continual author revision.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-11-005"
