"id","printed","normalized","host","nearbyProject","contextClassifications","occurrenceCount","printedPages","pdfPages","chapters","representativeText","extractionStatus","directoryDecision","currentResolutionStatus","currentUrl","editorialNotes"
"URL-0362","web.mit.edu/marshall/www/papers/CyberBalkans.pdf","web.mit.edu/marshall/www/papers/CyberBalkans.pdf","web.mit.edu","web.mit.edu","article / report / publication","1","274","289","9 - Collective Action, Civic Engagement, and the Knowledge Commons","I still think the best theoretical account of “cyberbalkanization” is Marshall van Alstyne and Erik Brynjolfsson, “Electronic Communities: Global Village or Cyberbalkans? (1997; see web.mit.edu/marshall/www/papers/CyberBalkans .pdf). They predict that the Internet will help people who are so inclined to increase the range and diversity of their information and contacts. They also predict that the Internet will allow people to “filter” out unwelcome ideas or","Book-extracted","","","",""
"URL-0363","www.pewinternet.org","www.pewinternet.org","www.pewinternet.org","Pew Internet & American Life Project","project / organization homepage","1","274","289","9 - Collective Action, Civic Engagement, and the Knowledge Commons","demic Press, 1998), 43–57. 55. Pew Internet and American Life Project, Online Communities Survey (2001), available from www.pewinternet.org. 56. Boyte is a former field secretary in the civil rights movement, a University of Minnesota professor, and codirector of the University's Center for Democracy","Book-extracted","","","",""
"URL-0364","www.civicyouth.org","www.civicyouth.org","www.civicyouth.org","www.civicyouth.org","web resource","1","275","290","9 - Collective Action, Civic Engagement, and the Knowledge Commons","61. Molly Andolina, Scott Keeter, Cliff Zukin, and Krista Jenkins, Civic and Political Health of the Nation: A Generational Portrait, available from CIRCLE at www.civicyouth.org. 62. Dean Mohs, Celebrating and Encouraging Community Involvement of Older Minnesotans: A Snapshot of Current Minnesota Baby Boomers and Older","Book-extracted","","","",""
"URL-0365","Sourceforge.net","Sourceforge.net","sourceforge.net","sourceforge.net","software / technical infrastructure | article / report / publication","4","278, 308, 365","293, 323, 380","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science | Index","a form of intellectual property. The innovation I am referring to is the emergence over the last twenty years of FOSS as a form of “software commons.” One popular FOSS website, Sourceforge.net, hosts over 200,000 such projects (Sourceforge.net 2006). While there are or will be many failures in this collaborative domain, there are some major success","Book-extracted","","","",""
"URL-0366","http://www.gnu.org/philosophy/free-sw.html","http://www.gnu.org/philosophy/free-sw.html","www.gnu.org","www.gnu.org","software / technical infrastructure","1","281","296","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","modify the software in any way they might desire. The emphasis here is on free as in freedom rather than free in the monetized sense (http://www.gnu.org/philosophy/free-sw.html). This philosophy led Stallman to consider how he could ensure that these freedoms could be intertwined, in a sense, with the software. His major advance was to","Book-extracted","","","",""
"URL-0367","http://www.gnu.org/licenses/licenses.html","http://www.gnu.org/licenses/licenses.html","www.gnu.org","www.gnu.org","license / intellectual-property resource","1","282","297","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","the licensing principles of its “parent” software. Stallman implemented these Copyleft principles by creating the “GNU General Public License” (GPL; http://www.gnu.org/licenses/licenses.html), and to promote these freedom ideals, Stallman created the “Free Software Foundation” or FSF (http://www.gnu.org/).","Book-extracted","","","",""
"URL-0368","http://www.gnu.org/","http://www.gnu.org/","www.gnu.org","www.gnu.org","license / intellectual-property resource","1","282","297","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","(GPL; http://www.gnu.org/licenses/licenses.html), and to promote these freedom ideals, Stallman created the “Free Software Foundation” or FSF (http://www.gnu.org/). Over time a social movement around these principles of software freedom emerged, and other programmers joined in. The ideas were","Book-extracted","","","",""
"URL-0369","http://www.opensource.org","http://www.opensource.org","www.opensource.org","www.opensource.org","initiative / declaration / policy","1","282","297","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","The open-source software movement was led in part by software developers Bruce Perens and Eric Raymond, who created the Open Source Initiative (OSI, http://www.opensource.org) and worked to develop an “Open Source Definition” (OSD)—a set of rules that can be 282","Book-extracted","","","",""
"URL-0370","http://http://www.opensource.org/licenses/","http://www.opensource.org/licenses/","www.opensource.org","www.opensource.org","license / intellectual-property resource","1","283","298","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","extending the FOSS idea to scientific commons later.) Stallman's GPL can be considered the “parent” of over fifty Open Software Initiative–approved licenses (Perens 1999; http://http://www .opensource.org/licenses/), which all satisfy the general conditions of open-source software but have variations in the rights provided to soft- ware users. These variations demonstrate that software authors have a","Book-extracted","","","",""
"URL-0371","http://www.gnu.org/licenses/license-list.html","http://www.gnu.org/licenses/license-list.html","www.gnu.org","www.gnu.org","license / intellectual-property resource","1","283","298","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","is that authors of software have a set of rights that they can retain or give away (for comparisons of various FOSS licenses, see Perens 1999 or http://www.gnu.org/licenses/license-list.html). The Copyleft licensing innovations are “rules-in-use” (figure 3.2) that contribute to the motivation of computer programmers to take action in","Book-extracted","","","",""
"URL-0372","www.sourceforge.net","www.sourceforge.net","www.sourceforge.net","www.sourceforge.net","software / technical infrastructure","1","287","302","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","and Cornford 2003). In FOSS projects, group collaboration is supported through web-based communication and version-control systems. For example, the FOSS project-management website www.sourceforge.net provides group communication functions and software version-control systems based on the “Concurrent Versioning System” or CVS (Fogel","Book-extracted","","","",""
"URL-0373","http://www.fsf.org/copyleft/fdl.html","http://www.fsf.org/copyleft/fdl.html","www.fsf.org","www.fsf.org","license / intellectual-property resource","1","291","306","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","needed to apply to software, but also to accompanying user guides, tech- nical documentation, and so on. In this context, he developed the GNU Free Documentation License or GFDL (http://www.fsf.org/copyleft/ fdl.html), which governs the use, modification, and distribution of GNU software documentation. The GFDL specifies the sections of the document that must remain unmodified from version to version","Book-extracted","","","",""
"URL-0374","CreativeCommons.org","CreativeCommons.org","creativecommons.org","Creative Commons","license / intellectual-property resource","7","291, 302, 304","306, 317, 319","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","But around the year 2001, a new set of licenses following similar prin- ciples was developed by people associated with the nonprofit organiza- tion CreativeCommons.org that can be applied to works of music, art, video, text, and educational lesson plans (CreativeCommons.org 2004a). These licenses allow the author of a work to keep the copyright but still","Book-extracted","","","",""
"URL-0375","Science.CreativeCommons.org","Science.CreativeCommons.org","science.creativecommons.org","Creative Commons","license / intellectual-property resource","2","292, 308","307, 323","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","(2) developing standard licensing models to facilitate wider access to sci- entific information, and (3) exploring ways to increase the sharing of sci- entific data (Science.CreativeCommons.org 2005). While it is too early to make definitive statements about the connection between the Science Commons effort and the ideas proposed here, clearly their efforts in all","Book-extracted","","","",""
"URL-0376","http://campus.esri.com","http://campus.esri.com","campus.esri.com","campus.esri.com","software / technical infrastructure","1","301","316","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","example, some proprietary software companies are offering online distance-learning programs (e.g., in the context of geographic informa- tion systems, see http://campus.esri.com) to earn additional revenue and promote the use of their software. Could similar distance-learning serv- ices be established to provide registration-based courses on the particu-","Book-extracted","","","",""
"URL-0377","opensourcecms.com","opensourcecms.com","opensourcecms.com","opensourcecms.com","repository / archive / digital library","1","301","316","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","access are emerging. A sizable number of FOSS packages are available (e.g., wiki's, Drupal, DSpace, and other content-management systems; see opensourcecms.com) with some of the needed functionality to sup- port open-content collaboration, which may reduce some of the software-development costs. Professional societies, foundations, or gov-","Book-extracted","","","",""
"URL-0378","http:www.lulc.org/bcworkshop_2003/os_lulc_workshop_report_2003.pdf","http://www.lulc.org/bcworkshop_2003/os_lulc_workshop_report_2003.pdf","www.lulc.org","www.lulc.org","article / report / publication","1","303","318","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","models (see http:www.lulc.org/ bcworkshop_2003/os_lulc_workshop_report_2003.pdf) sponsored by the NSF Biocomplexity Program (grant NSFSBR 0083744). However, the recommenda- tions and opinions expressed are mine and do not necessarily reflect the views","Book-extracted","","","",""
"URL-0379","http://pkp.ubc.ca/ojs/other_OJS.html","http://pkp.ubc.ca/ojs/other_OJS.html","pkp.ubc.ca","pkp.ubc.ca","article / report / publication","1","303","318","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","of the funding agencies. 1. For example, as noted on the Public Knowledge Project's website (http://pkp.ubc.ca/ojs/other_OJS.html), various kinds of open-source e-journal management software are available, such as the “Open Journal Systems” (http://www.pkp.ubc.ca/ojs/), the “Article System” (http://artsys.sourceforge","Book-extracted","","","",""
"URL-0380","http://www.pkp.ubc.ca/ojs/","http://www.pkp.ubc.ca/ojs/","www.pkp.ubc.ca","www.pkp.ubc.ca","article / report / publication","2","303, 307","318, 322","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","(http://pkp.ubc.ca/ojs/other_OJS.html), various kinds of open-source e-journal management software are available, such as the “Open Journal Systems” (http://www.pkp.ubc.ca/ojs/), the “Article System” (http://artsys.sourceforge .net/), and efirst XML (http://www.openly.com/efirst/). There are also other open- source tools, such as Zope for developing general content-management systems","Book-extracted","","","",""
"URL-0381","http://artsys.sourceforge.net/","http://artsys.sourceforge.net/","artsys.sourceforge.net","artsys.sourceforge.net","article / report / publication","1","303","318","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","(http://pkp.ubc.ca/ojs/other_OJS.html), various kinds of open-source e-journal management software are available, such as the “Open Journal Systems” (http://www.pkp.ubc.ca/ojs/), the “Article System” (http://artsys.sourceforge .net/), and efirst XML (http://www.openly.com/efirst/). There are also other open- source tools, such as Zope for developing general content-management systems and Internet portals (http://zope.org).","Book-extracted","","","",""
"URL-0382","http://www.openly.com/efirst/","http://www.openly.com/efirst/","www.openly.com","www.openly.com","article / report / publication","1","303","318","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","management software are available, such as the “Open Journal Systems” (http://www.pkp.ubc.ca/ojs/), the “Article System” (http://artsys.sourceforge .net/), and efirst XML (http://www.openly.com/efirst/). There are also other open- source tools, such as Zope for developing general content-management systems and Internet portals (http://zope.org).","Book-extracted","","","",""
"URL-0383","http://zope.org","http://zope.org","zope.org","zope.org","project / organization homepage","1","303","318","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science",".net/), and efirst XML (http://www.openly.com/efirst/). There are also other open- source tools, such as Zope for developing general content-management systems and Internet portals (http://zope.org). 2. However, it remains an open question as to when such funding is absolutely needed for a project to survive versus when a FOSS project can exist solely","Book-extracted","","","",""
"URL-0384","http://www.fs.fed.us/ne/newtown_square/publications/technical_reports/pdfs/2002/gtrne297.pdf","http://www.fs.fed.us/ne/newtown_square/publications/technical_reports/pdfs/2002/gtrne297.pdf","www.fs.fed.us","www.fs.fed.us","article / report / publication","1","304","319","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Research Station. http://www.fs.fed.us/ne/newtown_square/publications/ technical_reports/pdfs/2002/gtrne297.pdf. Benkler, Y. 2002. “Coase's Penguin, or Linux and the Nature of the Firm.” Yale Law Journal 112(3):369–446.","Book-extracted","","","",""
"URL-0385","http://firstmonday.org/issues/issue4_12/bezroukov/","http://firstmonday.org/issues/issue4_12/bezroukov/","firstmonday.org","First Monday","article / report / publication","1","304","319","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Law Journal 112(3):369–446. Bezroukov, N. 1999. “A Second Look at the Cathedral and the Bazaar.” First Monday 4(12). http://firstmonday.org/issues/issue4_12/bezroukov/. Bollier, D. 1999. “The Power of Openness: Why Citizens, Education, Govern- ment, and Business Should Care about the Coming Revolution in Open Source","Book-extracted","","","",""
"URL-0386","http://h2oproject.law.harvard.edu/opencode/h2o/","http://h2oproject.law.harvard.edu/opencode/h2o/","h2oproject.law.harvard.edu","h2oproject.law.harvard.edu","initiative / declaration / policy","1","304","319","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Bollier, D. 1999. “The Power of Openness: Why Citizens, Education, Govern- ment, and Business Should Care about the Coming Revolution in Open Source Code Software.” http://h2oproject.law.harvard.edu/opencode/h2o/. Bonaccorsi, A., and C. Rossi. 2003. “Why Open Source Software Can Succeed.” Research Policy 32(7):1243–1258.","Book-extracted","","","",""
"URL-0387","http://www.rri.wvu.edu/WebBook/Briassoulis/contents.htm","http://www.rri.wvu.edu/WebBook/Briassoulis/contents.htm","www.rri.wvu.edu","www.rri.wvu.edu","project / organization homepage","1","304","319","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Briassoulis, H. 2000. Analysis of Land Use Change: Theoretical and Modeling Approaches. The Web Book of Regional Science. Morgantown, WV: Regional Research Institute, West Virginia University. http://www.rri.wvu.edu/WebBook/ Briassoulis/contents.htm. Capiluppi, A., P. Lago, and M. Morisio. 2003. “Evidences in the Evolution of OS Projects through Changelog Analyses.” In J. Feller, B. Fitzgerald, S. Hissam,","Book-extracted","","","",""
"URL-0388","http://opensource.ucc.ie/icse2003","http://opensource.ucc.ie/icse2003","opensource.ucc.ie","opensource.ucc.ie","license / intellectual-property resource | conference / workshop / event | article / report / publication","6","304, 305, 306, 308, 309","319, 320, 321, 323, 324","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","OS Projects through Changelog Analyses.” In J. Feller, B. Fitzgerald, S. Hissam, and K. Lakhani, eds., Taking Stock of the Bazaar: Proceedings of the 3rd Annual Workshop on Open Source Software Engineering. http://opensource.ucc.ie/ icse2003. CreativeCommons.org. 2004a. http://creativecommons.org. CreativeCommons.org.","Book-extracted","","","",""
"URL-0389","http://creativecommons.org","http://creativecommons.org","creativecommons.org","Creative Commons","license / intellectual-property resource","1","304","319","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Workshop on Open Source Software Engineering. http://opensource.ucc.ie/ icse2003. CreativeCommons.org. 2004a. http://creativecommons.org. CreativeCommons.org. 2004b.","Book-extracted","","","",""
"URL-0390","http://creativecommons.org/licenses","http://creativecommons.org/licenses","creativecommons.org","Creative Commons","license / intellectual-property resource","1","304","319","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Commons Licenses” http:// creativecommons.org/licenses. Crowston, K., H. Annabi, and J. Howison. 2003. “Defining Open Source Project Success.” In Proceedings of the 24th International Conference on Information","Book-extracted","","","",""
"URL-0391","http://www.fsf.org/copyleft/gpl.html","http://www.fsf.org/copyleft/gpl.html","www.fsf.org","www.fsf.org","license / intellectual-property resource","1","305","320","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Object Oriented Programming Systems and Languages, Anaheim, California, October 26–30. Free Software Foundation. 2004. “GNU General Public License” http://www .fsf.org/copyleft/gpl.html. Geist, H. J., and E. F. Lambin. 2002. “Proximate Causes and Underlying Driving Forces of Tropical Deforestation.” BioScience 52(2):143–150.","Book-extracted","","","",""
"URL-0392","http://www.firstmonday.org/issues/issue3_3/ghosh/","http://www.firstmonday.org/issues/issue3_3/ghosh/","www.firstmonday.org","First Monday","article / report / publication","1","305","320","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Forces of Tropical Deforestation.” BioScience 52(2):143–150. Ghosh, R. A. 2003. “Cooking Pot Markets: An Economic Model for the Trade of Free Goods and Services on the Internet.” First Monday 3(3). http://www .firstmonday.org/issues/issue3_3/ghosh/. Ghosh, R. A., and V. V. Prakash. 2000. “The Orbiten Free Software Survey.” First Monday 5(7). http://firstmonday.org/issues/issue5_7/ghosh/.","Book-extracted","","","",""
"URL-0393","http://firstmonday.org/issues/issue5_7/ghosh/","http://firstmonday.org/issues/issue5_7/ghosh/","firstmonday.org","First Monday","article / report / publication","1","305","320","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science",".firstmonday.org/issues/issue3_3/ghosh/. Ghosh, R. A., and V. V. Prakash. 2000. “The Orbiten Free Software Survey.” First Monday 5(7). http://firstmonday.org/issues/issue5_7/ghosh/. Ghosh, R. A., G. Robles, and R. Glott. 2002. Free/Libre and Open Source Software: Survey and Study. Technical report. University of Maastricht, The","Book-extracted","","","",""
"URL-0394","http://www.infonomics.nl/FLOSS/report/index.htm","http://www.infonomics.nl/FLOSS/report/index.htm","www.infonomics.nl","www.infonomics.nl","article / report / publication","1","305","320","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Infonomics, June. http://www .infonomics.nl/FLOSS/report/index.htm. Goldman, R., and R. P. Gabriel. 2005. Innovation Happens Elsewhere: Open Source as a Business Strategy. Amsterdam: Elsevier.","Book-extracted","","","",""
"URL-0395","http://opensource.ucc.ie/icse2002/HannRobertsSlaughterFielding","http://opensource.ucc.ie/icse2002/HannRobertsSlaughterFielding","opensource.ucc.ie","opensource.ucc.ie","article / report / publication","1","306","321","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Contribute to Open Source Projects? First Evidence of Economic Incentives.” Paper presented at the 2nd Workshop on Open Source Software Engineering (ICSE 2002). http://opensource.ucc.ie/icse2002/HannRobertsSlaughterFielding. pdf. Hardin, G. 1968. “The Tragedy of the Commons.” Science 162:1243–1248.","Book-extracted","","","",""
"URL-0396","http://opensource.mit.edu/papers/healyschussman.pdf","http://opensource.mit.edu/papers/healyschussman.pdf","opensource.mit.edu","opensource.mit.edu","article / report / publication","1","306","321","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Hardin, G. 1968. “The Tragedy of the Commons.” Science 162:1243–1248. Healy, K., and A. Schussman. 2003. “The Ecology of Open-Source Software Development.” http://opensource.mit.edu/papers/healyschussman.pdf. Hildebrand, J. D. 2004. “Hidden Agendas in Linux Land.” Software Develop- ment Times. http://www.sdtimes.com/cols/opensourcewatch_015.htm.","Book-extracted","","","",""
"URL-0397","http://www.sdtimes.com/cols/opensourcewatch_015.htm","http://www.sdtimes.com/cols/opensourcewatch_015.htm","www.sdtimes.com","www.sdtimes.com","article / report / publication","1","306","321","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Development.” http://opensource.mit.edu/papers/healyschussman.pdf. Hildebrand, J. D. 2004. “Hidden Agendas in Linux Land.” Software Develop- ment Times. http://www.sdtimes.com/cols/opensourcewatch_015.htm. Hissam, S., C. B. Weinstock, D. Plaksoh, and J. Asundi. 2001. Perspectives on Open Source Software. Technical Report CMU/SEI-2001-TR-019. Pittsburgh:","Book-extracted","","","",""
"URL-0398","http://www.sei.cmu.edu/publications/documents/01.reports/01tr019.html","http://www.sei.cmu.edu/publications/documents/01.reports/01tr019.html","www.sei.cmu.edu","www.sei.cmu.edu","article / report / publication","1","306","321","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Hissam, S., C. B. Weinstock, D. Plaksoh, and J. Asundi. 2001. Perspectives on Open Source Software. Technical Report CMU/SEI-2001-TR-019. Pittsburgh: Carnegie Mellon University. http://www.sei.cmu.edu/publications/documents/01 .reports/01tr019.html. Johns, A. 2001. “The Birth of Scientific Reading.” Nature 409:287–289. Johnson, J. P. 2002. “Economics of Open Source Software.” Journal of Eco-","Book-extracted","","","",""
"URL-0399","http://www.osdn.com/bcg/bcg-0.73/BCGHackerSurvey0-73.html","http://www.osdn.com/bcg/bcg-0.73/BCGHackerSurvey0-73.html","www.osdn.com","www.osdn.com","project / organization homepage","1","306","321","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","of the American Medical Association 263(10):1321–1322. Lakhani, K. R., B. Wolf, J. Bates, and C. DiBona. 2002. “The Boston Consult- ing Group Hacker Survey, Release 0.73.” http://www.osdn.com/bcg/bcg-0.73/ BCGHackerSurvey0-73.html. Lee, S., N. Moisa, and M. Weiss. 2003. “Open Source as a Signaling Device: An Economic Analysis.” In J. Feller, B. Fitzgerald, S. Hissam, and K. Lakhani, eds.,","Book-extracted","","","",""
"URL-0400","http://www.welchco.com/02/14/01/60/00/10/3101.htm","http://www.welchco.com/02/14/01/60/00/10/3101.htm","www.welchco.com","www.welchco.com","article / report / publication","1","306","321","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Journal of Industrial Economics 52:197–234. Manley, M. R. 2000. “Managing Projects the Open Source Way.” http://www.welchco.com/02/14/01/60/00/10/3101.htm. 306 Charles M. Schweik","Book-extracted","","","",""
"URL-0401","http://firstmonday.org/issues/issue3_3/raymond/","http://firstmonday.org/issues/issue3_3/raymond/","firstmonday.org","First Monday","article / report / publication","1","307","322","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Sebastopol, CA: O'Reilly and Associates. Raymond, E. 1998a. “The Cathedral and the Bazaar.” First Monday 3/3 (March). http://firstmonday.org/issues/issue3_3/raymond/. Raymond, E. 1998b. “Homesteading the Noosphere.” First Monday 3(10). http://www.firstmonday.dk/issues/issue3_10/raymond/index.html.","Book-extracted","","","",""
"URL-0402","http://www.firstmonday.dk/issues/issue3_10/raymond/index.html","http://www.firstmonday.dk/issues/issue3_10/raymond/index.html","www.firstmonday.dk","First Monday","article / report / publication","1","307","322","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","(March). http://firstmonday.org/issues/issue3_3/raymond/. Raymond, E. 1998b. “Homesteading the Noosphere.” First Monday 3(10). http://www.firstmonday.dk/issues/issue3_10/raymond/index.html. Rischard, J. F. 2001. “High Noon: We Need New Approaches to Global Problem-Solving, Fast.” Journal of International Economic Law 4(3):507–","Book-extracted","","","",""
"URL-0403","http://www.upgrade-cepis.org/issues/2005/3/up6-3Schweik.pdf","http://www.upgrade-cepis.org/issues/2005/3/up6-3Schweik.pdf","www.upgrade-cepis.org","UPGRADE / CEPIS","article / report / publication","1","307","322","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Software ‘Commons.'” Upgrade: The European Journal for the Informatics Professional (June): 17–27. http://www.upgrade-cepis.org/issues/2005/3/up6 -3Schweik.pdf. Free/Open-Source Software and a Commons in Science 307","Book-extracted","","","",""
"URL-0404","http://www.lulc.org/bcworkshop_2003/os_lulc_workshop_report_2003.pdf","http://www.lulc.org/bcworkshop_2003/os_lulc_workshop_report_2003.pdf","www.lulc.org","www.lulc.org","article / report / publication","1","308","323","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Schweik, C. M., J. Evans, and J. M. Grove. 2003. “Initiating an Open Source\Content Landcover Change Modeling Effort.” http://www.lulc.org/ bcworkshop_2003/os_lulc_workshop_report_2003.pdf. Schweik, C. M., and J. M. Grove. 2000. “Fostering Open-Source Research via a World Wide Web System. “Public Administration and Management 5(3).","Book-extracted","","","",""
"URL-0405","http://www.pamij.com/5_4/5_4_2_opensource.html","http://www.pamij.com/5_4/5_4_2_opensource.html","www.pamij.com","www.pamij.com","initiative / declaration / policy","1","308","323","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Schweik, C. M., and J. M. Grove. 2000. “Fostering Open-Source Research via a World Wide Web System. “Public Administration and Management 5(3). http://www.pamij.com/5_4/5_4_2_opensource.html. Schweik, C. M., and A. Semenov. 2003. “The Institutional Design of ‘Open Source' Programming: Implications for Addressing Complex Public Policy and","Book-extracted","","","",""
"URL-0406","http://www.firstmonday.org/issues/issue8_1/schweik/","http://www.firstmonday.org/issues/issue8_1/schweik/","www.firstmonday.org","First Monday","license / intellectual-property resource","1","308","323","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Schweik, C. M., and A. Semenov. 2003. “The Institutional Design of ‘Open Source' Programming: Implications for Addressing Complex Public Policy and Management Problems.” First Monday 8(1). http://www.firstmonday.org/ issues/issue8_1/schweik/. Science.CreativeCommons.org. 2005. “welcome to Science Commons” http:// science.creativecommons.org/.","Book-extracted","","","",""
"URL-0407","http://science.creativecommons.org/","http://science.creativecommons.org/","science.creativecommons.org","Creative Commons","license / intellectual-property resource","1","308","323","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Management Problems.” First Monday 8(1). http://www.firstmonday.org/ issues/issue8_1/schweik/. Science.CreativeCommons.org. 2005. “welcome to Science Commons” http:// science.creativecommons.org/. Shaikh, M., and T. Cornford. 2003. “Version Management Tools: CVS to BK in the Linux Kernel.” In J. Feller, B. Fitzgerald, S. Hissam, and K. Lakhani, eds.,","Book-extracted","","","",""
"URL-0408","http://www.sourceforge.net","http://www.sourceforge.net","www.sourceforge.net","www.sourceforge.net","article / report / publication","1","308","323","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","lishing and Its Implications: Report of a Symposium. Washington, DC: National Academies Press. Sourceforge.net. 2006. “Sourceforge.net” http://www.sourceforge.net. Stallman, R. M. 1999. “The GNU Operating System and the Free Software Movement.” In C. DiBona, S. Ockman, and M. Stone, eds., Open Sources:","Book-extracted","","","",""
"URL-0409","www.washingtonpost.com/wp-dyn/articles/A17842-2004sept/3.html","www.washingtonpost.com/wp-dyn/articles/A17842-2004sept/3.html","www.washingtonpost.com","www.washingtonpost.com","article / report / publication","1","309","324","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Source Software Engineering. http://opensource.ucc.ie/icse2003. Webb, C. L. 2004. “IBM's Open Source Lovefest.” Washington Post (September 13). www.washingtonpost.com/wp-dyn/articles/A17842-2004sept/3.html. Weber, S. 2004. The Success of Open Source. Cambridge, MA: Harvard Uni- versity Press.","Book-extracted","","","",""
"URL-0410","http://www.berlecon.de/studien/downloads/200207FLOSS_Activities.pdf","http://www.berlecon.de/studien/downloads/200207FLOSS_Activities.pdf","www.berlecon.de","www.berlecon.de","article / report / publication","1","309","324","10 - Free/Open-Source Software as a Framework for Establishing Commons in Science","Implications. FLOSS Final Report Part 2. Berlin: Berlecon Research. http://www.berlecon.de/studien/downloads/200207FLOSS_Activities.pdf. Ziman, J. 1969. “Information, Communication, Knowledge.” Nature 224: 318–324.","Book-extracted","","","",""
"URL-0411","http://www.repec.org/","http://www.repec.org/","www.repec.org","www.repec.org","article / report / publication","1","330","345","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","and open models on classic functions of libraries: collection development, access, and service. 2. Information about RePEc can be found at http://www.repec.org/. 3. http://blog.lib.umn.edu/blogosphere/. 4. Additional information and analysis of STKE can be found at http://stke","Book-extracted","","","",""
"URL-0412","http://blog.lib.umn.edu/blogosphere/","http://blog.lib.umn.edu/blogosphere/","blog.lib.umn.edu","blog.lib.umn.edu","article / report / publication","1","330","345","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","and service. 2. Information about RePEc can be found at http://www.repec.org/. 3. http://blog.lib.umn.edu/blogosphere/. 4. Additional information and analysis of STKE can be found at http://stke .sciencemag.org/.","Book-extracted","","","",""
"URL-0413","http://stke.sciencemag.org/","http://stke.sciencemag.org/","stke.sciencemag.org","Science","article / report / publication","1","330","345","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","2. Information about RePEc can be found at http://www.repec.org/. 3. http://blog.lib.umn.edu/blogosphere/. 4. Additional information and analysis of STKE can be found at http://stke .sciencemag.org/. 5. The decision on prepublication posting shifted to the discretion of individual APA journal editors.","Book-extracted","","","",""
"URL-0414","http://www.diglib.org/aquifer/","http://www.diglib.org/aquifer/","www.diglib.org","www.diglib.org","project / organization homepage","1","330","345","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","ment, over time library presence has been increasingly evident and the research projects have moved from testbeds to more operational settings. 8. See http://www.diglib.org/aquifer/. 9. National Research Council Committee on a National Collaboratory, National Collaboratories (Washington, DC: National Academy Press, 1993).","Book-extracted","","","",""
"URL-0415","http://www.windows.ucar.edu/sparc/","http://www.windows.ucar.edu/sparc/","www.windows.ucar.edu","www.windows.ucar.edu","web resource","1","330","345","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","9. National Research Council Committee on a National Collaboratory, National Collaboratories (Washington, DC: National Academy Press, 1993). 10. Information on SPARC can be found at http://www.windows.ucar.edu/ sparc/. 11. See “UCSB Campus Informatics: Collaboration for Knowledge Manage- ment,” http://www.cni.org/tfms/2004a.spring/abstracts/PB-ucsb-pritchard.html.","Book-extracted","","","",""
